original,final,Notes
arifureta_gacha_003_jp.png,highschooldxd_idle_001_en.png,
highschooldxd_battle_001_en.png,arifureta_gacha_001_jp.png,
highschooldxd_battle_001_jp.png,highschooldxd_battle_001_jp.png,
highschooldxd_battle_002_en.png,highschooldxd_post_battle_001_en.png,
highschooldxd_battle_002_jp.png,highschooldxd_battle_002_jp.png,
highschooldxd_battle_003_jp.png,highschooldxd_battle_003_jp.png,
highschooldxd_battle_004_jp.png,highschooldxd_battle_004_jp.png,
highschooldxd_gacha_001_en.png,highschooldxd_gacha_001_en.png,animation
highschooldxd_gacha_001_jp.png,highschooldxd_gacha_001_jp.png,special banner
highschooldxd_gacha_002_en.png,highschooldxd_gacha_002_en.png,results
highschooldxd_gacha_002_jp.png,highschooldxd_gacha_002_jp.png,normal banner
highschooldxd_gacha_003_en.png,highschooldxd_gacha_003_en.png,results
highschooldxd_gacha_003_jp.png,highschooldxd_gacha_003_jp.png,animation
highschooldxd_gacha_004_en.png,highschooldxd_gacha_004_en.png,animation
highschooldxd_gacha_004_jp.png,highschooldxd_gacha_004_jp.png,results
highschooldxd_gacha_005_en.png,highschooldxd_gacha_005_en.png,results
highschooldxd_gacha_005_jp.png,highschooldxd_gacha_005_jp.png,results
highschooldxd_gacha_006_en.png,highschooldxd_gacha_006_en.png,results
highschooldxd_gacha_006_jp.png,highschooldxd_gacha_006_jp.png,results
highschooldxd_gacha_007_jp.png,highschooldxd_gacha_007_jp.png,results
highschooldxd_gacha_008_jp.png,highschooldxd_gacha_008_jp.png,results
highschooldxd_gacha_009_jp.png,highschooldxd_gacha_009_jp.png,results
highschooldxd_idle_overworld_001_jp.png,highschooldxd_idle_001_jp.png,
highschooldxd_idle_overworld_001_en.png,highschooldxd_idle_002_en.png,
highschooldxd_idle_overworld_002_jp.png,highschooldxd_idle_002_jp.png,
highschooldxd_idle_overworld_002_en.png,highschooldxd_idle_003_en.png,
highschooldxd_idle_overworld_003_jp.png,highschooldxd_idle_003_jp.png,
highschooldxd_idle_overworld_005_en.png,highschooldxd_idle_004_en.png,
highschooldxd_idle_overworld_009_en.png,highschooldxd_menu_popup_001_en.png,home screen popup
highschooldxd_idle_overworld_010_en.png,highschooldxd_post_battle_002_en.png,
highschooldxd_idle_overworld_011_en.png,highschooldxd_idle_005_en.png,
highschooldxd_idle_overworld_012_en.png,highschooldxd_battle_005_en.png,
highschooldxd_idle_overworld_013_en.png,highschooldxd_battle_006_en.png,
highschooldxd_idle_overworld_019_en.png,highschooldxd_home_home_001_en.png,
highschooldxd_idle_overworld_020_en.png,highschooldxd_home_exchange_001_en.png,
highschooldxd_idle_overworld_021_en.png,highschooldxd_home_fest_001_en.png,
highschooldxd_idle_overworld_022_en.png,highschooldxd_gacha_007_en.png,special banner
highschooldxd_idle_overworld_071_en.png,arifureta_gacha_002_jp.png,
highschooldxd_idle_overworld_073_en.png,highschooldxd_pre_battle_001_en.png,
highschooldxd_idle_overworld_074_en.png,highschooldxd_battle_007_en.png,
highschooldxd_idle_overworld_075_en.png,highschooldxd_battle_008_en.png,
highschooldxd_idle_overworld_076_en.png,highschooldxd_battle_009_en.png,
highschooldxd_idle_overworld_078_en.png,highschooldxd_campaign_001_en.png,
highschooldxd_idle_overworld_079_en.png,highschooldxd_post_battle_003_en.png,
highschooldxd_menu_001_en.png,highschooldxd_home_home_002_en.png,
highschooldxd_menu_001_jp.png,highschooldxd_home_home_001_jp.png,
highschooldxd_post_battle_001_jp.png,highschooldxd_post_battle_001_jp.png,
highschooldxd_post_battle_091_en.png,highschooldxd_idle_overworld_005_en.png,
highschooldxd_pre_battle_001_en.png,arifureta_gacha_003_jp.png,
highschooldxd_pre_battle_001_jp.png,highschooldxd_pre_battle_001_jp.png,
screenshot (27).png,arifureta_idle_001_jp.png,
screenshot (28).png,arifureta_idle_002_jp.png,
screenshot (29).png,arifureta_idle_003_jp.png,
screenshot (30).png,arifureta_idle_004_jp.png,
screenshot (31).png,arifureta_idle_005_jp.png,
screenshot (32).png,arifureta_idle_006_jp.png,
screenshot (33).png,arifureta_gacha_004_jp.png,
screenshot (34).png,arifureta_gacha_005_jp.png,results
screenshot (35).png,arifureta_idle_007_jp.png,
screenshot (36).png,arifureta_idle_008_jp.png,
screenshot (37).png,arifureta_gacha_006_jp.png,
screenshot (38).png,arifureta_campaign_001_jp.png,
screenshot (39).png,arifureta_gacha_007_jp.png,
screenshot (40).png,arifureta_gacha_008_jp.png,results
screenshot (41).png,arifureta_character_001_jp.png,
screenshot (42).png,arifureta_character_002_jp.png,
screenshot (43).png,arifureta_menu_001_jp.png,
screenshot (44).png,arifureta_menu_002_jp.png,
screenshot (45).png,arifureta_gacha_009_jp.png,special banner
screenshot (46).png,arifureta_menu_003_jp.png,side panel
screenshot (47).png,arifureta_idle_009_jp.png,
screenshot (48).png,arifureta_loading_001_en.png,
screenshot (49).png,arifureta_idle_001_en.png,
screenshot (50).png,arifureta_menu_001_en.png,side panel
screenshot (51).png,arifureta_task_001_en.png,
screenshot (52).png,arifureta_task_002_en.png,
screenshot (53).png,arifureta_gear_001_en.png,
screenshot (54).png,arifureta_character_001_en.png,
screenshot (55).png,arifureta_gacha_001_en.png,
screenshot (56).png,arifureta_campaign_001_en.png,
screenshot (57).png,arifureta_campaign_002_en.png,
screenshot (58).png,arifureta_gem_shop_001_en.png,
screenshot (59).png,arifureta_idle_002_en.png,
screenshot (60).png,arifureta_idle_003_en.png,boss screen
screenshot (61).png,arifureta_idle_004_en.png,boss battle
screenshot (62).png,arifureta_idle_005_en.png,boss battle
screenshot (63).png,arifureta_idle_006_en.png,boss battle
screenshot (64).png,arifureta_idle_007_en.png,
screenshot (65).png,arifureta_idle_008_en.png,
screenshot (66).png,arifureta_idle_009_en.png,
screenshot (67).png,arifureta_idle_010_en.png,
screenshot (77).png,arifureta_idle_010_jp.png,boss screen
screenshot (78).png,arifureta_idle_11_jp.png,boss battle
screenshot (79).png,arifureta_idle_12_jp.png,boss battle
screenshot (81).png,arifureta_gear_001_jp.png,
screenshot (82).png,arifureta_gear_002_jp.png,
screenshot (83).png,arifureta_gear_003_jp.png,
screenshot (84).png,arifureta_gear_004_jp.png,
screenshot (85).png,arifureta_character_003_jp.png,
screenshot (86).png,arifureta_character_004_jp.png,
screenshot (87).png,arifureta_character_005_jp.png,
screenshot (88).png,arifureta_character_006_jp.png,
screenshot (89).png,arifureta_character_007_jp.png,
screenshot (117).png,highschooldxd_gacha_008_en.png,animation
screenshot (118).png,highschooldxd_gacha_009_en.png,results
screenshot (119).png,highschooldxd_gacha_010_en.png,regular panel
screenshot (127).png,highschooldxd_idle_004_jp.png,
screenshot (146).png,highschooldxd_idle_005_jp.png,
screenshot (147).png,highschooldxd_battle_005_jp.png,
screenshot (148).png,highschooldxd_battle_006_jp.png,
screenshot (159).png,highschooldxd_post_battle_002_jp.png,
screenshot (160).png,highschooldxd_shop_001_jp.png,
screenshot (162).png,highschooldxd_shop_002_jp.png,
screenshot (163).png,highschooldxd_shop_002_jp.png,
screenshot (164).png,highschooldxd_shop_004_jp.png,
screenshot (166).png,highschooldxd_character_001_jp.png,
screenshot (167).png,highschooldxd_character_002_jp.png,
screenshot (171).png,highschooldxd_exchange_001_en.png,
screenshot (172).png,highschooldxd_shop_001_en.png,
screenshot (173).png,highschooldxd_shop_002_en.png,
screenshot (174).png,highschooldxd_shop_003_en.png,
screenshot (175).png,highschooldxd_shop_004_en.png,
